Data,Dia da Semana,Hora Litúrgica,Título,Texto Litúrgico,
2025/08/21,quinta,Salmo/Leituras/Manhã,Salmo/Leituras/Manhã,https://docs.google.com/document/d/1GmJ1UyFhaLAk-N4VFa_UeqCpRZK2rs-PYgNMpRvfNio/edit?usp=sharing,Quinta - Salmo e Leituras - Safro 11ª s. Pent - 10ª dp Pent 
2025/08/21,quinta,Terça - 9 horas,Terça - 9 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/21,quinta,Sexta - 12 horas,Sexta - 12 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/21,quinta,Noa - 15 horas,Noa - 15 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/21,quinta,Ramsho - Véspera,Ramsho - Véspera,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/21,quinta,Salmo/Leituras/Tarde,Salmo/Leituras/Tarde,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/21,quinta,Sutoro - Oração da Noite,Sutoro - Oração da Noite,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/22,sexta,Lilyo - Vigílias,Lilyo - Vigílias,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/22,sexta,Safro - Oração da Manhã,Safro - Oração da Manhã,https://docs.google.com/document/d/1qKtMLbsCdErkAoBkKLbhzlO_n3UsXbfaFQ29AZqJBMM/edit?usp=sharing,
2025/08/22,sexta,Salmo/Leituras/Manhã,Salmo/Leituras/Manhã,https://docs.google.com/document/d/1ahmRgv97utnjT4FG57gSBkcFc6U8pWrPByztMHUI9EQ/edit?usp=sharing,Sexta - Salmo e Leituras - Safro 11ª s. Pent - 10ª dp Pent 
2025/08/22,sexta,Terça - 9 horas,Terça - 9 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/22,sexta,Sexta - 12 horas,Sexta - 12 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/22,sexta,Noa - 15 horas,Noa - 15 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/22,sexta,Ramsho - Véspera,Ramsho - Véspera,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/22,sexta,Salmo/Leituras/Tarde,Salmo/Leituras/Tarde,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/22,sexta,Sutoro - Oração da Noite,Sutoro - Oração da Noite,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/23,sábado,Lilyo - Vigílias,Lilyo - Vigílias,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/23,sábado,Safro - Oração da Manhã,Safro - Oração da Manhã,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/23,sábado,Salmo/Leituras/Manhã,Salmo/Leituras/Manhã,https://docs.google.com/document/d/1ahmRgv97utnjT4FG57gSBkcFc6U8pWrPByztMHUI9EQ/edit?usp=sharing,Sábado - Salmo e Leituras - Safro 11ª s. Pent - 10ª dp Pent 
2025/08/23,sábado,Terça - 9 horas,Terça - 9 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/23,sábado,Sexta - 12 horas,Sexta - 12 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/23,sábado,Noa - 15 horas,Noa - 15 horas,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/23,sábado,Ramsho - Véspera,Ramsho - Véspera,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/23,sábado,Salmo/Leituras/Tarde,Salmo/Leituras/Tarde,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/23,sábado,Sutoro - Oração da Noite,Sutoro - Oração da Noite,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/24,domingo,Lilyo - Vigílias,Lilyo - Vigílias,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
2025/08/24,domingo,Safro - Oração da Manhã,Safro - Oração da Manhã,https://docs.google.com/document/d/17Qqu_Mev3ZSzBlcCstarH5xOM2GwMhc9GlLkbdRw70E/edit?usp=sharing,
